Entity,Code,Year,Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh
Norway,NOR,1965,0,49.452,0,0
Norway,NOR,1966,0,48.744,0,0
Norway,NOR,1967,0,53.301,0,0
Norway,NOR,1968,0,60.205,0,0
Norway,NOR,1969,0,57.371,0,0
Norway,NOR,1970,0,57.808,0,0
Norway,NOR,1971,0,63.245,0,0
Norway,NOR,1972,0,67.417,0,0
Norway,NOR,1973,0,72.867,0,0
Norway,NOR,1974,0,76.597,0,0
Norway,NOR,1975,0,77.33,0,0
Norway,NOR,1976,0,81.933,0,0
Norway,NOR,1977,0,72.022,0,0
Norway,NOR,1978,0,80.706,0,0
Norway,NOR,1979,0,88.698,0,0
Norway,NOR,1980,0,83.613,0,0
Norway,NOR,1981,0,92.834,0,0
Norway,NOR,1982,0,92.499,0,0
Norway,NOR,1983,0,105.688,0,0
Norway,NOR,1984,0,105.903,0,0
Norway,NOR,1985,0,102.383,0,0.005
Norway,NOR,1986,0,96.201,0,0.026
Norway,NOR,1987,0,103.273,0,0.021
Norway,NOR,1988,0,108.857,0,0.027
Norway,NOR,1989,0,118.4,0,0.029
Norway,NOR,1990,0,121.14,0,0.21
Norway,NOR,1991,0,110.13,0,0.21
Norway,NOR,1992,0,116.67,0,0.23
Norway,NOR,1993,0.01,119.23,0,0.24
Norway,NOR,1994,0.01,111.64,0,0.27
Norway,NOR,1995,0.01,121.53,0,0.29
Norway,NOR,1996,0.01,103.86,0,0.3
Norway,NOR,1997,0.01,109.78,0,0.24
Norway,NOR,1998,0.01,115.7,0,0.27
Norway,NOR,1999,0.03,121.45,0,0.27
Norway,NOR,2000,0.03,141.82,0,0.26
Norway,NOR,2001,0.03,120.46,0,0.25
Norway,NOR,2002,0.08,129.37,0,0.25
Norway,NOR,2003,0.22,105.48,0,0.33
Norway,NOR,2004,0.25,108.78,0,0.36
Norway,NOR,2005,0.5,135.69,0,0.33
Norway,NOR,2006,0.64,119.37,0,0.39
Norway,NOR,2007,0.89,133.66,0,0.39
Norway,NOR,2008,0.91,139.04,0,0.4
Norway,NOR,2009,0.97,125.28,0,0.23
Norway,NOR,2010,0.87,116.74,0,0.35
Norway,NOR,2011,1.29,120.28,0,0.34
Norway,NOR,2012,1.54,141.72,0,0.33
Norway,NOR,2013,1.88,128.14,0,0.4
Norway,NOR,2014,2.22,135.47,0,0.25
Norway,NOR,2015,2.52,137.3,0,0.25
Norway,NOR,2016,2.11,142.81,0,0.23
Norway,NOR,2017,2.85,142.37,0,0.26
Norway,NOR,2018,3.87,138.98,0,0.2
Norway,NOR,2019,5.52,125.29,0.01,0.25
Norway,NOR,2020,9.91,141.8,0.08,0.24
Norway,NOR,2021,11.76,143.97,0.11,0.22
Norway,NOR,2022,15.9,128.24,0.17,0.24
Norway,NOR,2023,14.96,135.96,0.17,0.26